Field,Label,Value
resource_12_id,Resource ID,6de83337-c289-437b-b81d-cb1a805c777a
resource_12_last_modified,Updated,2021-08-07T00:33:02.450234
resource_12_metadata_modified,Metadata Updated,2023-03-03T03:32:24.794665
resource_12_microdata,Microdata,False
resource_12_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_12_resource_type,Resource Type,file.upload
resource_12_name,Resource Name,mwi_youth_15_24_2020_geotiff.zip
resource_12_mimetype,MIME Type,application/zip
resource_12_size,Size,19.9M
resource_13_created,Created,2021-08-07T00:33:36.452151
resource_13_description,Description,
resource_13_format,File Format,GeoTIFF
resource_13_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/be537dd2-258a-459b-b02c-cc3d67d4987c/download/mwi_elderly_60_plus_2020_geotiff.zip
resource_13_id,Resource ID,be537dd2-258a-459b-b02c-cc3d67d4987c
resource_13_last_modified,Updated,2021-08-07T00:33:35.067822
resource_13_metadata_modified,Metadata Updated,2023-03-03T03:32:24.794774
resource_13_microdata,Microdata,False
resource_13_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_13_resource_type,Resource Type,file.upload
resource_13_name,Resource Name,mwi_elderly_60_plus_2020_geotiff.zip
resource_13_mimetype,MIME Type,application/zip
resource_13_size,Size,19.8M
resource_14_created,Created,2021-08-07T00:34:09.347623
resource_14_description,Description,
resource_14_format,File Format,GeoTIFF
resource_14_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/a8a11a89-bf4e-4f7b-b077-dce67e9b1c27/download/mwi_children_under_five_2020_geotiff.zip
resource_14_id,Resource ID,a8a11a89-bf4e-4f7b-b077-dce67e9b1c27
resource_14_last_modified,Updated,2021-08-07T00:34:07.945440
resource_14_metadata_modified,Metadata Updated,2023-03-03T03:32:24.794873
resource_14_microdata,Microdata,False
resource_14_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_14_resource_type,Resource Type,file.upload
resource_14_name,Resource Name,mwi_children_under_five_2020_geotiff.zip
resource_14_mimetype,MIME Type,application/zip
resource_14_size,Size,19.9M
